"GaugeLID"	"Location"	"Latitude"	"Longitude"	"Waterbody"	"State"	"Units"	"Action"	"Flood"	"Moderate"	"Major"	"URL"	"USGS"	"Action_Q"	"Flood_Q"	"Moderate_Q"	"Major_Q"
"AAKA2"	"Auke Bay"	58.851944	-134.708611	"Antler River"	"AK"	"ft"	32.5	33.5	34.5	NA	"http://water.weather.gov/ahps2/hydrograph.php?wfo=pajk&gage=aaka2"	"15055500"	606.549316594981	1005.8470390242	1538.61487919942	NA
"AANG1"	"Atlanta"	33.819444	-84.407778	"Peachtree Creek"	"GA"	"ft"	13	17	18	20	"http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=aang1"	"02336300"	3777.45764962502	6218.90331410328	6917.07948577011	8741.06400407519
"ABAG1"	"GA Highway 203 near Blackshear"	31.375278	-82.288889	"Alabaha River"	"GA"	"ft"	7	9	11	13	"http://water.weather.gov/ahps2/hydrograph.php?wfo=jax&gage=abag1"	"02227270"	518.564168700997	1261.22445038261	4259.59669509483	12100
"ABAT2"	"Albany"	32.732778	-99.140278	"Hubbard Creek"	"TX"	"ft"	32	35	38	43	"http://water.weather.gov/ahps2/hydrograph.php?wfo=sjt&gage=abat2"	"08086212"	35081.5089824546	39869.8930852442	75068.5193404623	NA
"ABBG1"	"Abbeville"	31.996667	-83.279167	"Ocmulgee River"	"GA"	"ft"	10	12	14	18	"http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=abbg1"	"02215260"	8909.56126763891	14631.8415690523	23101.1757973312	50815.5536499889
"ABBI3"	"18th Street Auburn"	41.36	-85.049167	"Cedar Creek (IN)"	"IN"	"ft"	6	9	10	12	"http://water.weather.gov/ahps2/hydrograph.php?wfo=iwx&gage=abbi3"	"04179520"	679.100284238879	1396.62629013071	1654.02256151375	2200.07172436983
"ABBN7"	"Lexington"	35.806944	-80.234722	"Abbotts Creek"	"NC"	"ft"	12	14	23	31	"http://water.weather.gov/ahps2/hydrograph.php?wfo=rah&gage=abbn7"	"02121500"	2475.1434628739	3541.60341298862	11254.4025967468	NA
"ABDM6"	"Aberdeen"	33.79	-88.315278	"Buttahatchie River"	"MS"	"ft"	12	13	22	24	"http://water.weather.gov/ahps2/hydrograph.php?wfo=meg&gage=abdm6"	"02439400"	3201.43329328152	4107.34657475036	53859.7556461843	NA
"ABNG1"	"Albany"	31.594167	-84.144167	"Flint River (GA)"	"GA"	"ft"	16	26	31	42	"http://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=abng1"	"02352500"	22636.0132141401	44086.2624607875	60236.5804896169	115463.539587987
"ABOM8"	"Missoula"	46.877222	-113.931389	"Clark Fork River"	"MT"	"ft"	9.5	10	11	13	"http://water.weather.gov/ahps2/hydrograph.php?wfo=mso&gage=abom8"	"12340500"	18016.3282137895	19728.5364928782	23189.9502722123	30000.1452901585
"ABRN1"	"Auburn"	40.392805	-95.81268	"Little Nemaha River"	"NE"	"ft"	20	22	23	27	"http://water.weather.gov/ahps2/hydrograph.php?wfo=oax&gage=abrn1"	"06811500"	15671.3276160106	19126.6082810398	22536.5357949528	131540.724636694
"ABRN8"	"Abercrombie"	46.470278	-96.7825	"Wild Rice River (ND)"	"ND"	"ft"	7	10	12	18	"http://water.weather.gov/ahps2/hydrograph.php?wfo=fgf&gage=abrn8"	"05053000"	1281.53069348299	1874.72159163434	2307.18432912749	4392.24376785061
"ABRW2"	"Albright"	39.494722	-79.644722	"Cheat River"	"WV"	"ft"	24	27	30	32	"http://water.weather.gov/ahps2/hydrograph.php?wfo=pbz&gage=abrw2"	"03070260"	31746.5085349425	47335.2910489428	NA	NA
"ABTI3"	"Abington"	39.7325	-84.959722	"East Fork Whitewater River"	"IN"	"ft"	11	14	18	22	"http://water.weather.gov/ahps2/hydrograph.php?wfo=iln&gage=abti3"	"03275600"	5145.29093934543	10546.3796285856	NA	NA
"ABTT2"	"Loop 360"	30.244444	-97.801944	"Barton Creek"	"TX"	"ft"	8	8	11	12	"http://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=abtt2"	"08155300"	2701.26616497482	2701.26616497482	6100.39752995827	7446.50766461322
"ABYT2"	"Fort Griffin"	32.934444	-99.224167	"Clear Fork Brazos River"	"TX"	"ft"	21	25	35	39	"http://water.weather.gov/ahps2/hydrograph.php?wfo=sjt&gage=abyt2"	"08085500"	3694.7310644189	4472.91720784084	13156.1950290128	26367.4649764173
"ACDG1"	"Arcade"	34.031667	-83.563333	"Middle Oconee River"	"GA"	"ft"	15	16	21	27	"http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=acdg1"	"02217475"	4319.97184150435	4777.59508466977	7655.48986349106	NA
"ACMN5"	"Acme"	33.536111	-104.376667	"Pecos River"	"NM"	"ft"	12	13	14.5	16	"http://water.weather.gov/ahps2/hydrograph.php?wfo=abq&gage=acmn5"	"08386000"	4224.38284391227	5294.39748564436	7122.57535101177	NA
"ACOM2"	"Hyattsville"	38.952222	-76.966111	"Northwest Branch Anacostia River"	"MD"	"ft"	8	9.5	13	18	"http://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=acom2"	"01651000"	9166.97097404569	12169.2218836749	NA	NA
"ACRT2"	"Austin"	30.246111	-97.68	"Colorado River (TX)"	"TX"	"ft"	25	33	38	42	"http://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=acrt2"	"08158000"	12785.4076334196	31498.9099701919	48328.3094515558	65881.7100436066
"ACRV2"	"Alexandria"	38.806389	-77.11	"Cameron Run"	"VA"	"ft"	6	9.5	11	13	"http://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=acrv2"	"01653000"	8917.69255478635	22057.4363788468	26278.2864266678	28404.4696299243
"ACST1"	"Ashland City"	36.32	-87.051111	"Sycamore Creek"	"TN"	"ft"	10	14	17	20	"http://water.weather.gov/ahps2/hydrograph.php?wfo=ohx&gage=acst1"	"03431800"	5848.28057945527	NA	NA	NA
"ACTI3"	"Acton"	39.656944	-85.9575	"Buck Creek (IN)"	"IN"	"ft"	7	9	14	18	"http://water.weather.gov/ahps2/hydrograph.php?wfo=ind&gage=acti3"	"03361850"	1015.05582593761	1600.00058003462	5673.07653833978	NA
"ACYG1"	"Covington"	33.64	-83.779167	"Alcovy River"	"GA"	"ft"	9	12	16	20	"http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=acyg1"	"02208450"	1520.59967244952	3934.22764154459	NA	NA
