FID	Shape	GaugeLID	Status	Location	Latitude	Longitude	Waterbody	State	Observed	ObsTime	Units	Action	Flood	Moderate	Major	LowThresh	LowThreshU	WFO	HDatum	PEDTS	SecValue	SecUnit	URL
0	Point	AAKA2	no_flooding	Auke Bay	58.851944	-134.708611	Antler River	AK	30.7	7/8/2016 15:30	ft	32.5	33.5	34.5	 	 	ft	pajk	NAD83/WGS84	HGIRZ	0.15	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=pajk&gage=aaka2
1	Point	AAMC1	not_defined	Alemeda tide gage	37.771667	-122.298333	San Francisco Bay	CA	-0.12	7/8/2016 16:00	ft	 	 	 	 	 	ft	mtr	NAD83/WGS84	HMIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=aamc1
2	Point	AANG1	no_flooding	Atlanta	33.819444	-84.407778	Peachtree Creek	GA	2.4	7/8/2016 16:00	ft	13	17	18	20	 	ft	ffc	NAD83/WGS84	HGIRG	0.05	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=aang1
3	Point	ABAG1	no_flooding	GA Highway 203 near Blackshear	31.375278	-82.288889	Alabaha River	GA	1.14	7/8/2016 15:30	ft	7	9	11	13	 	ft	jax	NAD83/WGS84	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=jax&gage=abag1
4	Point	ABAT2	no_flooding	Albany	32.732778	-99.140278	Hubbard Creek	TX	4.6	7/8/2016 16:00	ft	32	35	38	43	 	ft	sjt	NAD83/WGS84	HGIRG	0.03	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=sjt&gage=abat2
5	Point	ABBG1	no_flooding	Abbeville	31.996667	-83.279167	Ocmulgee River	GA	0.88	7/8/2016 15:45	ft	10	12	14	18	 	ft	ffc	NAD83/WGS84	HGIRG	1.84	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=abbg1
6	Point	ABBI3	no_flooding	18th Street Auburn	41.36	-85.049167	Cedar Creek (IN)	IN	2.73	7/8/2016 16:00	ft	6	9	10	12	 	ft	iwx	NAD83/WGS84	HGIRG	0	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=iwx&gage=abbi3
7	Point	ABBN7	no_flooding	Lexington	35.806944	-80.234722	Abbotts Creek	NC	4.81	7/8/2016 15:30	ft	12	14	23	31	 	ft	rah	NAD83/WGS84	HGIRG	0.22	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=rah&gage=abbn7
8	Point	ABBV2	no_flooding	Abbott	37.430556	-80.138333	Craig Creek	VA	2	7/8/2016 13:46	ft	9	10	14	17	 	ft	rnk	NAD83/WGS84	HGIRR	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=rnk&gage=abbv2
9	Point	ABDM6	no_flooding	Aberdeen	33.79	-88.315278	Buttahatchie River	MS	5.86	7/8/2016 15:30	ft	12	13	22	24	 	ft	meg	NAD83/WGS84	HGIRG	0.26	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=meg&gage=abdm6
10	Point	ABEM6	no_flooding	Aberdeen Lock and Dam	33.83	-88.52	Tombigbee River	MS	163.96	7/8/2016 15:00	ft	187	188	190	192	 	ft	meg	NAD83/WGS84	HTIRG	1.1	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=meg&gage=abem6
11	Point	ABIK1	obs_not_current	Abilene	38.906389	-97.284167	Smoky Hill River	KS	 	N/A	ft	22	27	30	33	 	ft	top	NAD83/WGS84	HGIRZ	 	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=top&gage=abik1
12	Point	ABKL1	not_defined	Bayou Manchac at Alligator Bayou near Kleinpeter	30.321111	-91.020833	Amite River Basin	LA	1.45	7/8/2016 16:00	ft	 	 	 	 	 	ft	lix	NAD83/WGS84	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=abkl1
13	Point	ABLA2	obs_not_current	Ambler	67.086944	-157.8475	Kobuk River	AK	 	N/A	ft	41	42.5	45	49	 	ft	pafg3	NAD83/WGS84	HGIRV	 	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=pafg3&gage=abla2
14	Point	ABNG1	no_flooding	Albany	31.594167	-84.144167	Flint River (GA)	GA	1.67	7/8/2016 15:45	ft	16	26	31	42	 	ft	tae	NAD83/WGS84	HGIRG	0.78	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=tae&gage=abng1
15	Point	ABOM8	no_flooding	Missoula	46.877222	-113.931389	Clark Fork River	MT	3.11	7/8/2016 16:00	ft	9.5	10	11	13	 	ft	mso	NAD83/WGS84	HGIRG	1.69	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=mso&gage=abom8
16	Point	ABPK2	not_defined	Audubon Park	38.211389	-85.7025	South Fork Beargrass Creek	KY	1.81	7/8/2016 15:45	ft	 	 	 	 	 	ft	lmk	NAD27	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=lmk&gage=abpk2
17	Point	ABPV2	no_flooding	Armistead Boothe Park	38.803889	-77.128333	Backlick Run	VA	0.02	7/8/2016 11:50	ft	7	9	 	 	 	ft	lwx	NAD83/WGS84	HGIRR	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=abpv2
18	Point	ABQN5	no_flooding	Albuquerque	35.089167	-106.680556	Rio Grande	NM	3.29	7/8/2016 15:15	ft	8	8	10	12.5	 	ft	abq	NAD83/WGS84	HGIRG	0.53	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=abq&gage=abqn5
19	Point	ABRN1	no_flooding	Auburn	40.392805	-95.81268	Little Nemaha River	NE	6.94	7/8/2016 15:15	ft	20	22	23	27	 	ft	oax	NAD83/WGS84	HGIRG	1.47	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=oax&gage=abrn1
20	Point	ABRN8	no_flooding	Abercrombie	46.470278	-96.7825	Wild Rice River (ND)	ND	0.08	7/8/2016 16:15	ft	7	10	12	18	 	ft	fgf	NAD83/WGS84	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=fgf&gage=abrn8
21	Point	ABRW2	no_flooding	Albright	39.494722	-79.644722	Cheat River	WV	13.39	7/8/2016 15:45	ft	24	27	30	32	 	ft	pbz	NAD83/WGS84	HGIRG	3.13	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=pbz&gage=abrw2
22	Point	ABSN4	not_defined	Absecon	39.430278	-74.520556	Absecon Creek	NJ	1.54	7/8/2016 15:15	ft	 	 	 	 	 	ft	phi	NAD83/WGS84	HPIRG	0.02	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=phi&gage=absn4
23	Point	ABTI3	no_flooding	Abington	39.7325	-84.959722	East Fork Whitewater River	IN	3.06	7/8/2016 15:45	ft	11	14	18	22	 	ft	iln	NAD83/WGS84	HGIRG	0.06	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=iln&gage=abti3
24	Point	ABTT2	no_flooding	Loop 360	30.244444	-97.801944	Barton Creek	TX	2.65	7/8/2016 16:00	ft	8	8	11	12	 	ft	ewx	NAD83/WGS84	HGIRG	0	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=ewx&gage=abtt2
25	Point	ABYT2	no_flooding	Fort Griffin	32.934444	-99.224167	Clear Fork Brazos River	TX	7.41	7/8/2016 16:15	ft	21	25	35	39	 	ft	sjt	NAD83/WGS84	HGIRG	0.22	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=sjt&gage=abyt2
26	Point	ACBC1	not_defined	Div Dam near Sunol	37.498611	-121.779444	Alameda Creek	CA	4.2	7/8/2016 15:15	ft	 	 	 	 	 	ft	mtr	NAD83/WGS84	HGIRG	0	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=acbc1
27	Point	ACDG1	no_flooding	Arcade	34.031667	-83.563333	Middle Oconee River	GA	2.09	7/8/2016 15:45	ft	15	16	21	27	 	ft	ffc	NAD83/WGS84	HGIRG	0.14	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=ffc&gage=acdg1
28	Point	ACDO2	not_defined	Arcadia Lake	35.64833	-97.363056	Deep Fork River	OK	1005.84	7/8/2016 16:00	ft	 	 	 	 	 	ft	oun	NAD83/WGS84	HPIRG	27.2	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=oun&gage=acdo2
29	Point	ACEC1	obs_not_current	Almaden Reservoir	37.1656	-121.8281	Almaden-Calero Canal	CA	 	N/A	ft	 	 	 	 	 	ft	mtr	NAD83/WGS84	HGIRR	 	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=acec1
30	Point	ACIT1	no_flooding	Ashland City	36.270556	-87.076111	Cumberland River	TN	19.88	7/8/2016 16:00	ft	24	28	32	36	 	ft	ohx	NAD83/WGS84	HGIRG	66.7	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=ohx&gage=acit1
31	Point	ACMC1	no_flooding	 	37.8975	-122.536111	Arroyo Corte Madera del Presidio	CA	2.82	7/8/2016 15:30	ft	6.5	 	8	 	 	ft	mtr	NAD83/WGS84	HGIRR	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=mtr&gage=acmc1
32	Point	ACML1	no_flooding	Acme	31.267778	-91.830833	Black River	LA	15.8	7/8/2016 15:00	ft	47	48	52	58	 	ft	jan	NAD83/WGS84	HGIRG	-999	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=jan&gage=acml1
33	Point	ACMN5	no_flooding	Acme	33.536111	-104.376667	Pecos River	NM	6.31	7/8/2016 15:45	ft	12	13	14.5	16	 	ft	abq	NAD83/WGS84	HGIRG	0.51	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=abq&gage=acmn5
34	Point	ACMP1	no_flooding	C.W. Bill Young Lock and Dam	40.536111	-79.815	Allegheny River	PA	10.18	7/8/2016 16:15	ft	15	17	20	23	 	ft	pbz	NAD83/WGS84	HPIRG	6.55	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=pbz&gage=acmp1
35	Point	ACOM2	no_flooding	Hyattsville	38.952222	-76.966111	Northwest Branch Anacostia River	MD	1.35	7/8/2016 15:30	ft	8	9.5	13	18	 	ft	lwx	NAD83/WGS84	HGIRG	0.02	kcfs	http://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=acom2
