NWS	USGS	
APTA2	15239900	
BRKA2	15300100	
BRMA2	15239050	
BRNA2	15239060	
BRRA2	15239001	
BRTA2	15239070	
BRUA2	15238990	
CCSA2	15274600	
CHLA2	15511000	
CHRA2	15275100	
CJXA2	15304000	
CKDA2	15304010	
CLTA2	15292400	
COOA2	15258000	
CPAA2	15298040	
EKLA2	15278000	
GCOA2	15215900	
GCSA2	15292000	
GKGA2	15478038	
GROA2	15237730	
GRSA2	15200280	
ILRA2	15300300	
KDKA2	15295700	
KLCA2	15303900	
KRWA2	15293200	
LHFA2	15226620	
LSUA2	15290000	
LWCA2	15293700	
MATA2	15284000	
MDBA2	15214000	
MONA2	15292800	
MOOA2	15283700	
MXYA2	15209700	
NRDA2	15302000	
RCBA2	15297610	
SCTA2	15291700	
SGLA2	15225997	
SHIA2	15276000	
SIXA2	15271000	
SKLA2	15266110	
SNOA2	15243900	
SXRA2	15266300	
TLRA2	15300250	
TRTA2	15292700	
UNRA2	15238648	
WLCA2	15236900	
WLVA2	15236895	
WLWA2	15294005	
YPSA2	15565447	
ARGA2	15905100	
CHFA2	15514000	
CRHA2	15493400	
CRUA2	15875000	
DCKA2	15743850	
ECHA2	15515080	
ENNA2	15515500	
FCCA2	15502000	
FMRA2	15348000	
GBDA2	15477740	
GLSA2	15457790	
HULA2	15980000	
KIAA2	15744500	
KUPA2	15896000	
MCDA2	15493700	
MDEA2	15803000	
MKEA2	15310002	
MRGA2	15515060	
NRCA2	15580095	
PHLA2	15478040	
SADA2	15742980	
SALA2	15484000	
SGRA2	15908000	
SLAA2	15564879	
TAFA2	15485500	
TMDA2	644255147180200	
TRBA2	15519100	
UCHA2	15493000	
WADA2	15320100	
WULA2	15747000	
YEAA2	15356000	
YRBA2	15453500	
AAKA2	15055500	
ALEA2	15129120	
CKTA2	15056500	
FCKA2	15072000	
GOVA2	15058700	
IRVA2	15087700	
LMCA2	15052000	
MNDA2	15052500	
OTCA2	15085100	
SAMA2	15057596	
SCJA2	15051010	
SCKA2	15081497	
SCSA2	15088000	
SLMA2	15008000	
SOUA2	15009000	
SRYA2	15129500	
STKA2	15024800	
TKUA2	15041200	
TKZA2	15099900	
TYAA2	15056210	
TYWA2	15019990	
ACTA1	02423500	
AKLA1	02450180	
ALPA1	02406500	
ALRA1	02420000	
ASHA1	02401390	
AVLA1	02444160	
BCSA1	02464360	
BDKA1	02448900	
BESA1	02461500	
BLDA1	02462500	
BLPA1	02399200	
BLSA1	02449882	
BRNA1	02371500	
